Account,Identifier,Sleeve,Action,Shares_Delta,Price,Delta_$
Automattic,SPAXX,Cash,BUY,20713.0,1.0,20713.0
Automattic,AGG,IG_Core,BUY,1989.4,100.18,199296.16
Automattic,BNDX,IG_Intl_Hedged,BUY,6825.8,49.41,337262.74
Automattic,91282CCF6,Treasuries,BUY,922.6,98.05,90464.73
Automattic,Private Stock,US_Core,SELL,-35000.0,29.59,-1035650.0
Automattic,IVW,US_Growth,BUY,2044.7,121.06,247531.58
Automattic,VTV,US_Value,BUY,748.6,187.53,140381.79
Fidelity Brokerage,SPAXX,Cash,BUY,4697.21,1.0,4697.21
Fidelity Brokerage,AGG,IG_Core,BUY,673.5,100.18,67467.84
Fidelity Brokerage,BNDX,IG_Intl_Hedged,BUY,2310.7,49.41,114173.75
Fidelity Brokerage,91282CCF6,Treasuries,BUY,312.3,98.05,30625.08
Fidelity Brokerage,Private Stock,US_Core,SELL,-11770.3,29.59,-348284.43
Fidelity Brokerage,IVW,US_Growth,BUY,692.2,121.06,83797.01
Fidelity Brokerage,VTV,US_Value,BUY,253.4,187.53,47523.53
Fidelity HSA,SPAXX,Cash,BUY,795.69,1.0,795.69
Fidelity HSA,AGG,IG_Core,BUY,104.3,100.18,10452.54
Fidelity HSA,BNDX,IG_Intl_Hedged,BUY,358.0,49.41,17688.51
Fidelity HSA,91282CCF6,Treasuries,BUY,48.4,98.05,4744.63
Fidelity HSA,Private Stock,US_Core,SELL,-1825.8,29.59,-54026.36
Fidelity HSA,IVW,US_Growth,BUY,107.2,121.06,12982.35
Fidelity HSA,VTV,US_Value,BUY,39.3,187.53,7362.64
Schwab Brokerage,SPAXX,Cash,BUY,37807.16,1.0,37807.16
Schwab Brokerage,VWO,EM,SELL,-3998.8,54.79,-219091.56
Schwab Brokerage,AGG,IG_Core,SELL,-1543.9,100.18,-154667.91
Schwab Brokerage,BNDX,IG_Intl_Hedged,BUY,12459.0,49.41,615601.14
Schwab Brokerage,91282CCF6,Treasuries,SELL,-6223.5,98.05,-610218.48
Schwab Brokerage,Private Stock,US_Core,SELL,-4359.5,29.59,-128998.09
Schwab Brokerage,IVW,US_Growth,BUY,1679.6,121.06,203330.75
Schwab Brokerage,VTV,US_Value,BUY,1366.4,187.53,256236.99
Schwab Gravity,SPAXX,Cash,BUY,76348.76,1.0,76348.76
Schwab Gravity,VWO,EM,SELL,-11836.3,54.79,-648513.03
Schwab Gravity,XLE,Energy,SELL,-3411.7,88.91,-303337.58
Schwab Gravity,AGG,IG_Core,BUY,7332.9,100.18,734611.8
Schwab Gravity,BNDX,IG_Intl_Hedged,BUY,25160.1,49.41,1243160.87
Schwab Gravity,VPL,Intl_DM,SELL,-3600.4,89.69,-322921.45
Schwab Gravity,91282CCF6,Treasuries,BUY,3400.9,98.05,333455.79
Schwab Gravity,Private Stock,US_Core,SELL,-43678.0,29.59,-1292432.16
Schwab Gravity,IVW,US_Growth,BUY,959.0,121.06,116095.79
Schwab Gravity,SCHA,US_SmallValue,SELL,-4886.3,28.26,-138087.62
Schwab Gravity,VTV,US_Value,BUY,1075.1,187.53,201618.82
Vanguard Brokerage,SPAXX,Cash,BUY,12981.91,1.0,12981.91
Vanguard Brokerage,XLE,Energy,SELL,-706.2,88.91,-62785.0
Vanguard Brokerage,AGG,IG_Core,BUY,1246.8,100.18,124909.27
Vanguard Brokerage,BNDX,IG_Intl_Hedged,BUY,2032.1,49.41,100405.25
Vanguard Brokerage,VPL,Intl_DM,SELL,-2222.1,89.69,-199302.17
Vanguard Brokerage,91282CCF6,Treasuries,BUY,578.3,98.05,56698.95
Vanguard Brokerage,Private Stock,US_Core,SELL,-547.6,29.59,-16203.28
Vanguard Brokerage,IVW,US_Growth,BUY,559.9,121.06,67775.94
Vanguard Brokerage,SCHA,US_SmallValue,SELL,-2503.1,28.26,-70738.46
Vanguard Brokerage,VTV,US_Value,SELL,-73.3,187.53,-13742.43
Vanguard Roth IRA,SPAXX,Cash,BUY,21367.96,1.0,21367.96
Vanguard Roth IRA,VWO,EM,SELL,-4231.7,54.79,-231853.42
Vanguard Roth IRA,VWOB,EM_USD,SELL,-3224.8,66.9,-215736.18
Vanguard Roth IRA,AGG,IG_Core,BUY,2052.3,100.18,205598.09
Vanguard Roth IRA,BNDX,IG_Intl_Hedged,BUY,7041.6,49.41,347927.3
Vanguard Roth IRA,VPL,Intl_DM,SELL,-1965.8,89.69,-176309.82
Vanguard Roth IRA,91282CCF6,Treasuries,BUY,951.8,98.05,93325.31
Vanguard Roth IRA,Private Stock,US_Core,SELL,-15021.9,29.59,-444498.8
Vanguard Roth IRA,IVW,US_Growth,BUY,2109.4,121.06,255358.76
Vanguard Roth IRA,VTV,US_Value,BUY,772.3,187.53,144820.79
